mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03905706405639649,0.006436907023944553,0.002019643783569336,0.0009165133441777359,0.6,1.0,1.0,300,3,0.05,0.8,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.13301955341440805,-0.14304674049722454,-0.12772790393449096,-0.1370478666564555,-0.1627755339053341,-0.14072351968158264,0.012111451080161425,1
0.03681817054748535,0.00836934309977249,0.002301025390625,0.0010754266841409932,0.6,10.0,0.1,200,3,0.01,1.0,"{'subsample': 0.6, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.1627963288274428,-0.18751728152417504,-0.17438510121829404,-0.16863802801844058,-0.20624861648676535,-0.1799170712150236,0.015505178493123675,27
0.09963631629943848,0.005775621861585441,0.0019341468811035155,8.32100105609154e-05,0.8,10.0,0.0,100,9,0.2,0.8,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.140033713907596,-0.14945792888619525,-0.14111375617406868,-0.1497031012321058,-0.16130742828539402,-0.14832318569707195,0.007648183852093969,14
0.2611684799194336,0.01047816976052852,0.004606008529663086,0.0017398094649969161,0.8,1.0,0.01,400,7,0.01,0.8,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 400, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.13663026199884418,-0.14926747645584437,-0.13400773717637426,-0.14059978308227555,-0.16078565523639973,-0.14425818278994762,0.009745676659859957,7
0.16477537155151367,0.011033954170986331,0.0055163860321044925,0.0014391582198746004,0.8,1.0,1.0,300,9,0.05,1.0,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.13784962914423124,-0.14780145799319755,-0.1363631870305394,-0.147208682493852,-0.16381760111995378,-0.1466081115563548,0.00979408785862211,11
0.12899270057678222,0.007715284530319725,0.0033362865447998046,0.0011975207601555577,0.6,0.1,0.1,100,11,0.05,0.8,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.13837809892912206,-0.1448466983295792,-0.13755578066071822,-0.14415005585895238,-0.1611771629296834,-0.14522155934161105,0.008502553023099985,9
0.061644792556762695,0.006102964620380221,0.0016535282135009765,5.447133576585931e-05,0.6,0.1,0.0,400,3,0.2,1.0,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-0.14912982077619577,-0.14277755663190442,-0.140088908608085,-0.1394164699137591,-0.17115548811010564,-0.14851364880801,0.011829372084766938,15
0.0458409309387207,0.006618045627434922,0.001973724365234375,0.0008134992096108402,0.6,10.0,1.0,300,3,0.05,0.6,"{'subsample': 0.6, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-0.13456851920056528,-0.14478784483279783,-0.13008997713213832,-0.13833278133424204,-0.16539826414469508,-0.1426354773288877,0.012359253464080006,4
0.2854011535644531,0.018874445547518177,0.004675054550170898,0.0014649166753989559,0.8,0.1,0.1,200,9,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.15124383859751178,-0.16634841777553216,-0.15100361991453798,-0.15180888371041623,-0.17655520161944854,-0.15939199232348936,0.010365600276470356,24
0.08906574249267578,0.010327136534838363,0.004303884506225586,0.0010376001916356527,0.8,10.0,1.0,200,11,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 11, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.161882562974866,-0.191529065631653,-0.17428871370186277,-0.16476520005925796,-0.20724927910592986,-0.1799429642947139,0.017137011090308955,28
0.5773389339447021,0.012769829860321146,0.007751274108886719,0.001586189144563224,0.6,1.0,0.01,400,11,0.01,0.8,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 400, 'max_depth': 11, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.1386998474208035,-0.14590364501003714,-0.1321553683235465,-0.13918269327722285,-0.16033642380470345,-0.1432555955672627,0.009584626004478725,5
0.43568434715271,0.006707295098054022,0.00625762939453125,0.0018560677645421569,1.0,10.0,0.01,400,9,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.01, 'n_estimators': 400, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.1428862586819552,-0.1565556752488463,-0.14443171638940355,-0.14654031097364076,-0.17352890455567377,-0.1527885731699039,0.011413028274791992,20
0.5430430889129638,0.02099841250926076,0.006556224822998047,0.0018725577910396224,0.8,1.0,0.1,400,9,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 400, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.14376949789683613,-0.15396509513912338,-0.1395274421751367,-0.14384275238656696,-0.16525812562010564,-0.14927258264355375,0.009298301123051342,17
