State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Vadodara(Baroda),Padra,"Little gourd (Kundru)",Other,FAQ,22/03/2025,1500,3500,2500
Gujarat,Vadodara(Baroda),Padra,Methi(Leaves),Other,FAQ,22/03/2025,1000,1500,1250
Gujarat,Vadodara(Baroda),Padra,"Peas cod",Other,FAQ,22/03/2025,3500,4000,3750
Gujarat,Vadodara(Baroda),Padra,"Pegeon Pea (Arhar Fali)",Other,FAQ,22/03/2025,3500,4500,4000
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,22/03/2025,700,750,725
Gujarat,Valsad,Pardi,Chikoos(Sapota),Other,Large,22/03/2025,3500,3800,3800
Gujarat,Valsad,Pardi(Motavagachiya),Chikoos(Sapota),Other,Large,22/03/2025,3000,3500,3500
Gujarat,Valsad,Pardi(Vapi),Chikoos(Sapota),Other,Large,22/03/2025,4000,4200,4200
Haryana,Gurgaon,Gurgaon,Cabbage,Other,FAQ,22/03/2025,600,800,700
Haryana,Gurgaon,Gurgaon,Grapes,Other,Large,22/03/2025,5000,10000,7500
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,22/03/2025,800,1200,1000
Haryana,Hissar,Barwala(Hisar),Capsicum,Capsicum,FAQ,22/03/2025,1800,2000,1900
Haryana,Hissar,Barwala(Hisar),Cauliflower,Other,FAQ,22/03/2025,700,800,750
Haryana,Hissar,Barwala(Hisar),Onion,Other,FAQ,22/03/2025,1200,1500,1350
Haryana,Hissar,Barwala(Hisar),"Onion Green",Other,FAQ,22/03/2025,1200,1300,1250
Haryana,Hissar,Barwala(Hisar),"Squash(Chappal Kadoo)",Other,FAQ,22/03/2025,700,800,750
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,22/03/2025,1000,2000,1500
Haryana,Hissar,Hansi,Cabbage,Other,FAQ,22/03/2025,400,600,500
Haryana,Hissar,Hansi,Capsicum,Other,FAQ,22/03/2025,2000,3000,2500
Haryana,Hissar,Hansi,Cauliflower,Other,FAQ,22/03/2025,400,600,500
Haryana,Hissar,Hansi,Lemon,Other,FAQ,22/03/2025,3000,5000,4000
Haryana,Hissar,Hansi,Potato,Other,Non-FAQ,22/03/2025,1000,3500,1000
Haryana,Hissar,Uklana,Carrot,Carrot,FAQ,22/03/2025,500,600,600
Haryana,Hissar,Uklana,Onion,Onion,FAQ,22/03/2025,2000,2000,2000
Haryana,Hissar,Uklana,Potato,Potato,FAQ,22/03/2025,700,700,700
Haryana,Hissar,Uklana,Tomato,Other,FAQ,22/03/2025,600,600,600
Haryana,Karnal,Indri,Potato,Other,Non-FAQ,22/03/2025,450,450,450
Haryana,Kurukshetra,Pehowa,"Bottle gourd",Other,FAQ,22/03/2025,600,800,600
Haryana,Kurukshetra,Pipli,Potato,Other,Non-FAQ,22/03/2025,160,395,350
Haryana,Mahendragarh-Narnaul,Narnaul,"Bitter gourd","Bitter Gourd",FAQ,22/03/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,"Bottle gourd","Bottle Gourd",FAQ,22/03/2025,600,1500,1000
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Coriander,FAQ,22/03/2025,1000,3000,2000
Haryana,Mahendragarh-Narnaul,Narnaul,Lemon,Lemon,FAQ,22/03/2025,4000,6000,6000
Haryana,Mahendragarh-Narnaul,Narnaul,"Long Melon(Kakri)","Long Melon (Kakri)",FAQ,22/03/2025,1000,1600,1200
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,FAQ,22/03/2025,1200,1200,1200
Haryana,Mahendragarh-Narnaul,Narnaul,Pumpkin,Pumpkin,FAQ,22/03/2025,800,1500,1000
Haryana,Mahendragarh-Narnaul,Narnaul,"Sponge gourd","Sponge gourd",FAQ,22/03/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,FAQ,22/03/2025,800,1000,1000
Haryana,Mahendragarh-Narnaul,Narnaul,"Water Melon","Water Melon",Medium,22/03/2025,1500,1500,1500
Haryana,Mewat,Punhana,Onion,Other,FAQ,22/03/2025,1500,2000,1800
Haryana,Mewat,Punhana,Tomato,Other,FAQ,22/03/2025,1000,1000,1000
Haryana,Mewat,Tauru,Cabbage,Other,FAQ,22/03/2025,500,500,500
Haryana,Mewat,Tauru,Cauliflower,Local,FAQ,22/03/2025,400,500,500
Haryana,Mewat,Tauru,Ginger(Green),Other,FAQ,22/03/2025,5000,5000,5000
Haryana,Mewat,Tauru,"Mousambi(Sweet Lime)",Other,Medium,22/03/2025,4000,4000,4000
Haryana,Mewat,Tauru,Tomato,Deshi,Non-FAQ,22/03/2025,700,700,700
Haryana,Panipat,Samalkha,"Bottle gourd","Bottle Gourd",FAQ,22/03/2025,1000,1000,1000
Haryana,Panipat,Samalkha,Lemon,Lemon,FAQ,22/03/2025,10000,10000,10000
Haryana,Panipat,Samalkha,"Peas Wet","Peas Wet",FAQ,22/03/2025,2200,2200,2200
Haryana,Panipat,Samalkha,Pumpkin,Pumpkin,FAQ,22/03/2025,1000,1000,1000
Haryana,Rewari,Rewari,Onion,Medium,Non-FAQ,22/03/2025,1000,3000,2000
Haryana,Rohtak,Rohtak,Banana,Other,Large,22/03/2025,2000,2000,2000
Haryana,Rohtak,Rohtak,Grapes,Other,Large,22/03/2025,4000,7000,5000
Haryana,Rohtak,Rohtak,"Mousambi(Sweet Lime)",Other,Large,22/03/2025,2000,4000,3000
"Himachal Pradesh",Chamba,Chamba,Banana,Other,Medium,22/03/2025,4500,5000,4750
"Himachal Pradesh",Chamba,Chamba,Coriander(Leaves),Other,FAQ,22/03/2025,3500,4000,3750
"Himachal Pradesh",Chamba,Chamba,Ginger(Green),Other,FAQ,22/03/2025,5500,6000,5750
"Himachal Pradesh",Chamba,Chamba,Guava,Other,Medium,22/03/2025,6500,7000,6750
"Himachal Pradesh",Kangra,Dharamshala,Banana,Other,Medium,22/03/2025,4500,4800,4650
"Himachal Pradesh",Kangra,Dharamshala,"Bhindi(Ladies Finger)",Bhindi,FAQ,22/03/2025,5500,6000,5750
"Himachal Pradesh",Kangra,Dharamshala,Cabbage,Other,FAQ,22/03/2025,800,1000,900
"Himachal Pradesh",Kangra,Dharamshala,Cucumbar(Kheera),Other,FAQ,22/03/2025,2000,3000,2500
"Himachal Pradesh",Kangra,Dharamshala,"Mousambi(Sweet Lime)",Other,Medium,22/03/2025,6000,6500,6250
"Himachal Pradesh",Kangra,Kangra,Capsicum,Other,FAQ,22/03/2025,2500,2800,2600
"Himachal Pradesh",Kangra,Kangra,Carrot,Other,FAQ,22/03/2025,1600,1700,1700
"Himachal Pradesh",Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,22/03/2025,2000,2500,2200
"Himachal Pradesh",Kangra,Kangra,Mango,Other,Medium,22/03/2025,18000,20000,19000
"Himachal Pradesh",Kangra,Kangra,Pomegranate,Other,Medium,22/03/2025,12000,14000,13000
"Himachal Pradesh",Kangra,Kangra,Raddish,Other,FAQ,22/03/2025,800,1000,900
"Himachal Pradesh",Kangra,Kangra(Baijnath),Ber(Zizyphus/Borehannu),Ber(Zizyphus),Medium,22/03/2025,4500,4500,4500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Carrot,Carrot,FAQ,22/03/2025,1500,1600,1500
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Green Chilli","Green Chilly",FAQ,22/03/2025,5400,5500,5400
"Himachal Pradesh",Kangra,Kangra(Baijnath),Kinnow,Kinnow,Medium,22/03/2025,7000,7200,7000
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Mousambi(Sweet Lime)",Mousambi,Medium,22/03/2025,5500,5500,5500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Pineapple,Other,Medium,22/03/2025,5500,5600,5500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Pumpkin,Other,FAQ,22/03/2025,2500,3600,3000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Spinach,Other,FAQ,22/03/2025,2400,2500,2400
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Banana,"Banana - Ripe",Medium,22/03/2025,5000,5200,5100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Garlic,Average,FAQ,22/03/2025,9500,10000,9700
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Onion,"1st Sort",FAQ,22/03/2025,2600,2700,2650
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Water Melon",Other,Medium,22/03/2025,2200,2500,2300
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Banana,Amruthapani,Medium,22/03/2025,4000,4500,4200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Cabbage,Cabbage,FAQ,22/03/2025,700,1000,800
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Cauliflower,"African Sarson",FAQ,22/03/2025,1000,1200,1100
"Himachal Pradesh",Kangra,Palampur,Carrot,Carrot,FAQ,22/03/2025,1800,1900,1850
"Himachal Pradesh",Kangra,Palampur,"French Beans (Frasbean)",Other,FAQ,22/03/2025,4600,4700,4650
"Himachal Pradesh",Kangra,Palampur,Kinnow,Other,Medium,22/03/2025,7400,7500,7450
"Himachal Pradesh",Kangra,Palampur,Orange,Other,Medium,22/03/2025,9400,9500,9450
"Himachal Pradesh",Kangra,Palampur,Pomegranate,Other,Medium,22/03/2025,12500,13000,12700
"Himachal Pradesh",Kangra,Palampur,Turnip,Other,FAQ,22/03/2025,1800,2000,1900
"Himachal Pradesh",Kangra,Palampur,"Water Melon",Other,Medium,22/03/2025,2000,2500,2200
"Himachal Pradesh",Mandi,Mandi(Mandi),Apple,Apple,Medium,22/03/2025,12000,14000,13000
"Himachal Pradesh",Mandi,Mandi(Mandi),Banana,"Banana - Ripe",Medium,22/03/2025,3300,4200,3800
"Himachal Pradesh",Mandi,Mandi(Mandi),Cabbage,Cabbage,FAQ,22/03/2025,400,600,500
"Himachal Pradesh",Mandi,Mandi(Mandi),Coriander(Leaves),Coriander,FAQ,22/03/2025,2500,6000,4000
"Himachal Pradesh",Mandi,Mandi(Mandi),Grapes,Other,Medium,22/03/2025,8000,9800,9500
"Himachal Pradesh",Mandi,Mandi(Mandi),Mango,Safeda,Medium,22/03/2025,15000,17500,17000
"Himachal Pradesh",Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,22/03/2025,1000,1500,1200
